Order Date,Year,Month,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity
1/3/2021,2021,January,Consumer,Houston,Texas,Central,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book","19,74",2
1/4/2021,2021,January,Home Office,Naperville,Illinois,Central,Office Supplies,Labels,Avery 508,"14,14",3
1/4/2021,2021,January,Home Office,Naperville,Illinois,Central,Office Supplies,Storage,SAFCO Boltless Steel Shelving,"327,28",3
1/4/2021,2021,January,Home Office,Naperville,Illinois,Central,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,"4,25",2
1/5/2021,2021,January,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","23,44",3
1/6/2021,2021,January,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 225,"23,33",3
1/6/2021,2021,January,Corporate,Athens,Georgia,South,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush","15,34",3
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"3088,58",9
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,"731,98",2
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,"6,58",2
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Technology,Phones,GE 30524EE4,"470,38",2
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,"907,15",4
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes","37,34",4
1/6/2021,2021,January,Home Office,Henderson,Kentucky,South,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,"7,85",1
1/7/2021,2021,January,Consumer,Huntsville,Texas,Central,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock","92,07",3
1/7/2021,2021,January,Consumer,Huntsville,Texas,Central,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""","12,52",7
1/9/2021,2021,January,Consumer,Laredo,Texas,Central,Office Supplies,Art,Newell 312,"11,21",2
1/9/2021,2021,January,Consumer,Laredo,Texas,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,"37,44",3
1/10/2021,2021,January,Corporate,Springfield,Virginia,South,Office Supplies,Labels,Avery 482,"3,47",1
